LCSC,Ref,Status,Detail
C22775,R61,MODEL-REG-OK,body on courtyard (0.00mm)
C22775,R62,MODEL-REG-OK,body on courtyard (0.00mm)
C25803,R12,MODEL-REG-OK,body on courtyard (0.00mm)
C14663,C12,MODEL-REG-OK,body on courtyard (0.00mm)
C14663,C13,MODEL-REG-OK,body on courtyard (0.00mm)
C14663,C14,MODEL-REG-OK,body on courtyard (0.00mm)
C14663,C15,MODEL-REG-OK,body on courtyard (0.00mm)
C14663,C16,MODEL-REG-OK,body on courtyard (0.00mm)
C14663,C17,MODEL-REG-OK,body on courtyard (0.00mm)
C14663,C18,MODEL-REG-OK,body on courtyard (0.00mm)
C14663,C20,MODEL-REG-OK,body on courtyard (0.00mm)
C14663,C21,MODEL-REG-OK,body on courtyard (0.00mm)
C14663,C22,MODEL-REG-OK,body on courtyard (0.00mm)
C14663,C31,MODEL-REG-OK,body on courtyard (0.00mm)
C14663,C33,MODEL-REG-OK,body on courtyard (0.00mm)
C14663,C51,MODEL-REG-OK,body on courtyard (0.00mm)
C14663,C52,MODEL-REG-OK,body on courtyard (0.00mm)
C14663,C53,MODEL-REG-OK,body on courtyard (0.00mm)
C14663,C61,MODEL-REG-OK,body on courtyard (0.00mm)
C14663,C7,MODEL-REG-OK,body on courtyard (0.00mm)
C14663,C9,MODEL-REG-OK,body on courtyard (0.00mm)
C98220,R21,MODEL-REG-OK,body on courtyard (0.00mm)
C98220,R22,MODEL-REG-OK,body on courtyard (0.00mm)
C98220,R25,MODEL-REG-OK,body on courtyard (0.00mm)
C98220,R32,MODEL-REG-OK,body on courtyard (0.00mm)
C98220,R34,MODEL-REG-OK,body on courtyard (0.00mm)
