21:09:52: Debug: Adding duplicate image handler for 'PNG file'
21:09:52: Debug: Adding duplicate image handler for 'JPEG file'
21:09:52: Debug: Adding duplicate image handler for 'TIFF file'
21:09:52: Debug: Adding duplicate image handler for 'GIF file'
21:09:52: Debug: Adding duplicate image handler for 'PNM file'
21:09:52: Debug: Adding duplicate image handler for 'PCX file'
21:09:52: Debug: Adding duplicate image handler for 'IFF file'
21:09:52: Debug: Adding duplicate image handler for 'Windows icon file'
21:09:52: Debug: Adding duplicate image handler for 'Windows cursor file'
21:09:52: Debug: Adding duplicate image handler for 'Windows animated cursor file'
21:09:52: Debug: Adding duplicate image handler for 'TGA file'
21:09:52: Debug: Adding duplicate image handler for 'XPM file'
assembly: 1 coded not-assembled/consigned ref(s) from 03_src/rules/assembly.yaml

bodies mounted: 174/174  ->  /home/mouse9911/gits/circuits/projects/crow-recorder-central-v2/06_build/twin_v15/missing_models.txt
C1525  C_d3  OK  fit=0.06mm jlc_offset=0 db=0.0 src=name-DB
C1525  C_d4  OK  fit=0.06mm jlc_offset=0 db=0.0 src=name-DB
C1525  C_d5  OK  fit=0.06mm jlc_offset=0 db=0.0 src=name-DB
C1525  C_d6  OK  fit=0.06mm jlc_offset=0 db=0.0 src=name-DB
C1525  C_dvdd2  OK  fit=0.06mm jlc_offset=0 db=0.0 src=name-DB
C1525  C_dvdd3  OK  fit=0.06mm jlc_offset=0 db=0.0 src=name-DB
C1525  C_e1  OK  fit=0.06mm jlc_offset=0 db=0.0 src=name-DB
C1525  C_e2  OK  fit=0.06mm jlc_offset=0 db=0.0 src=name-DB
C1525  C_flash  OK  fit=0.06mm jlc_offset=0 db=0.0 src=name-DB
C1525  C_iovdd2  OK  fit=0.06mm jlc_offset=0 db=0.0 src=name-DB
C1525  C_iovdd3  OK  fit=0.06mm jlc_offset=0 db=0.0 src=name-DB
C1525  C_pll2  OK  fit=0.06mm jlc_offset=0 db=0.0 src=name-DB
C1525  C_rst  OK  fit=0.06mm jlc_offset=0 db=0.0 src=name-DB
C1525  C_sht  OK  fit=0.06mm jlc_offset=0 db=0.0 src=name-DB
C1525  C_u18b  OK  fit=0.06mm jlc_offset=0 db=0.0 src=name-DB
C1525  C_u33b  OK  fit=0.06mm jlc_offset=0 db=0.0 src=name-DB
C1525  C_u4  OK  fit=0.06mm jlc_offset=0 db=0.0 src=name-DB
C1525  C_vref2b  OK  fit=0.06mm jlc_offset=0 db=0.0 src=name-DB
C1525  C_vref3b  OK  fit=0.06mm jlc_offset=0 db=0.0 src=name-DB
C1525  Cinh_U7  OK  fit=0.06mm jlc_offset=0 db=0.0 src=name-DB
C1525  Cinh_U8  OK  fit=0.06mm jlc_offset=0 db=0.0 src=name-DB
C1525  Couth_U10  OK  fit=0.06mm jlc_offset=0 db=0.0 src=name-DB
C1525  Couth_U7  OK  fit=0.06mm jlc_offset=0 db=0.0 src=name-DB
C1525  Couth_U8  OK  fit=0.06mm jlc_offset=0 db=0.0 src=name-DB
C25076  Rs1M  OK  fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C25076  Rs1P  OK  fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C25076  Rs2M  OK  fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C25076  Rs2P  OK  fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C25076  Rs3M  OK  fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C25076  Rs3P  OK  fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C25076  Rs4M  OK  fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C25076  Rs4P  OK  fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C25076  Rs5M  OK  fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C25076  Rs5P  OK  fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C25076  Rs6M  OK  fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C25076  Rs6P  OK  fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C25076  Rs7M  OK  fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C25076  Rs7P  OK  fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C25076  Rs8M  OK  fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C25076  Rs8P  OK  fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C60490  RG1  OK  fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
